,Name,Endothelial_Endothelial_30,Endothelial_Glioma_30,Endothelial_Leukocyte_30,Endothelial_Negative_30,Endothelial_Oligodendrocyte_30,Endothelial_PVC_30,Endothelial_TAMM_30,Glioma_Endothelial_30,Glioma_Glioma_30,Glioma_Leukocyte_30,Glioma_Negative_30,Glioma_Oligodendrocyte_30,Glioma_PVC_30,Glioma_TAMM_30,Leukocyte_Endothelial_30,Leukocyte_Glioma_30,Leukocyte_Leukocyte_30,Leukocyte_Negative_30,Leukocyte_Oligodendrocyte_30,Leukocyte_PVC_30,Leukocyte_TAMM_30,Negative_Endothelial_30,Negative_Glioma_30,Negative_Leukocyte_30,Negative_Negative_30,Negative_Oligodendrocyte_30,Negative_PVC_30,Negative_TAMM_30,Oligodendrocyte_Endothelial_30,Oligodendrocyte_Glioma_30,Oligodendrocyte_Leukocyte_30,Oligodendrocyte_Negative_30,Oligodendrocyte_Oligodendrocyte_30,Oligodendrocyte_PVC_30,Oligodendrocyte_TAMM_30,PVC_Endothelial_30,PVC_Glioma_30,PVC_Leukocyte_30,PVC_Negative_30,PVC_Oligodendrocyte_30,PVC_PVC_30,PVC_TAMM_30,TAMM_Endothelial_30,TAMM_Glioma_30,TAMM_Leukocyte_30,TAMM_Negative_30,TAMM_Oligodendrocyte_30,TAMM_PVC_30,TAMM_TAMM_30,Endothelial_Endothelial_50,Endothelial_Glioma_50,Endothelial_Leukocyte_50,Endothelial_Negative_50,Endothelial_Oligodendrocyte_50,Endothelial_PVC_50,Endothelial_TAMM_50,Glioma_Endothelial_50,Glioma_Glioma_50,Glioma_Leukocyte_50,Glioma_Negative_50,Glioma_Oligodendrocyte_50,Glioma_PVC_50,Glioma_TAMM_50,Leukocyte_Endothelial_50,Leukocyte_Glioma_50,Leukocyte_Leukocyte_50,Leukocyte_Negative_50,Leukocyte_Oligodendrocyte_50,Leukocyte_PVC_50,Leukocyte_TAMM_50,Negative_Endothelial_50,Negative_Glioma_50,Negative_Leukocyte_50,Negative_Negative_50,Negative_Oligodendrocyte_50,Negative_PVC_50,Negative_TAMM_50,Oligodendrocyte_Endothelial_50,Oligodendrocyte_Glioma_50,Oligodendrocyte_Leukocyte_50,Oligodendrocyte_Negative_50,Oligodendrocyte_Oligodendrocyte_50,Oligodendrocyte_PVC_50,Oligodendrocyte_TAMM_50,PVC_Endothelial_50,PVC_Glioma_50,PVC_Leukocyte_50,PVC_Negative_50,PVC_Oligodendrocyte_50,PVC_PVC_50,PVC_TAMM_50,TAMM_Endothelial_50,TAMM_Glioma_50,TAMM_Leukocyte_50,TAMM_Negative_50,TAMM_Oligodendrocyte_50,TAMM_PVC_50,TAMM_TAMM_50,nCells,Endothelial_abundance,Glioma_abundance,Leukocyte_abundance,Negative_abundance,Oligodendrocyte_abundance,PVC_abundance,TAMM_abundance,Endothelial_fraction,Glioma_fraction,Leukocyte_fraction,Negative_fraction,Oligodendrocyte_fraction,PVC_fraction,TAMM_fraction,Astrocyte_Astrocyte_30,Astrocyte_Endothelial_30,Astrocyte_Glioma_30,Astrocyte_Negative_30,Astrocyte_Oligodendrocyte_30,Astrocyte_PVC_30,Astrocyte_TAMM_30,Endothelial_Astrocyte_30,Glioma_Astrocyte_30,Negative_Astrocyte_30,Oligodendrocyte_Astrocyte_30,PVC_Astrocyte_30,TAMM_Astrocyte_30,Astrocyte_Astrocyte_50,Astrocyte_Endothelial_50,Astrocyte_Glioma_50,Astrocyte_Negative_50,Astrocyte_Oligodendrocyte_50,Astrocyte_PVC_50,Astrocyte_TAMM_50,Endothelial_Astrocyte_50,Glioma_Astrocyte_50,Negative_Astrocyte_50,Oligodendrocyte_Astrocyte_50,PVC_Astrocyte_50,TAMM_Astrocyte_50,Astrocyte_abundance,Astrocyte_fraction,Astrocyte_Leukocyte_30,Leukocyte_Astrocyte_30,Astrocyte_Leukocyte_50,Leukocyte_Astrocyte_50
0,"Gbg LGG TMA 8 Panel 2_Core[1,1,A]_[12121,33201]_component_data.tif - resolution #1",0.0,-1.6761490402012587,8.496194691684654,0.9215418321576174,-1.104435695400803,5.653176113457763,0.9971173691272432,-0.8002524340493216,0.0,-0.410262880278765,0.3346585311395432,-0.7038461759638588,-0.8947361512447096,0.3949569047950818,7.987417715226516,-1.0129086430525147,0.0,-1.4992665978587938,-0.23241700371570692,-0.4984807314732729,0.4713632360150698,1.2992297461751763,0.2408301195306633,-1.3282279572590328,0.0,-0.7453252268074797,1.424107388404087,-1.283410123190017,-1.019260155493182,-0.052096800550796234,-0.20384827179266965,-0.4969889677280831,0.0,1.2072765213572723,0.7923845677592705,5.655303452099464,-1.3626780523363853,-0.4736444307869462,1.2043563279636866,1.0239410438900776,0.0,-0.5747778701726272,1.3745749739095734,0.279072752930949,0.7858576034373572,-1.2916980096916526,0.4644082002910117,-0.3893146437729784,0.0,0.0,-1.4330049854431919,6.968989963070855,-0.24178015070112766,-1.3027045426292725,4.384489335331922,2.0544478107112805,0.7900101813570544,0.0,0.5097701253490655,0.32738313148368126,-1.4112987273135196,-1.8140084406700645,-0.09986863951828677,5.90473543403341,-1.6596826293372342,0.0,0.10798427554100988,-0.4129083371959377,0.24360487786196391,1.1782777874842205,0.5647822450171051,-0.3628007489708913,1.1084131292114376,0.0,-0.9895526168368747,3.4596728866309063,-0.2735709884272824,-1.0705103064561965,-0.17618672888494136,-0.3338961679844786,-0.4719828535318867,0.0,1.2387852870900422,1.0887993464541375,4.547902799530633,-2.452725766612818,0.4997019993491182,3.2063890956543264,0.9757633894702824,0.0,0.4327585742854282,2.9496331021279194,-0.672801575942565,2.349844850749009,-0.22497010844136514,0.4617680340795585,0.665693628323025,0.0,2965,75,2114,3.0,370,5.0,23,375,0.025295109612141653,0.7129848229342327,0.001011804384485666,0.12478920741989882,0.0016863406408094434,0.00775716694772344,0.12647554806070826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Gbg LGG TMA 8 Panel 2_Core[1,1,B]_[13962,33036]_component_data.tif - resolution #1",0.0,-2.264903510706295,6.797416713114483,-0.4682064885700354,,9.50178935141184,5.669734886151993,-1.6304367324213207,0.0,-0.37935862815417437,0.2507590976442271,,-0.9585351451639111,1.3228117679546143,6.262244486130968,-0.9660289839138638,0.0,0.11408201643726085,,-0.32754218162367693,-0.7121727673287427,-0.18966087635120746,-0.11280543978043293,0.4519105160345751,0.0,,-0.852299251235006,0.936277471622737,,,,,,,,9.331817683848055,-1.4682773946310164,-0.30996740425729086,-1.062131810122291,,0.0,1.8093363978824764,5.143730824968925,-0.9617272466595427,-0.6997325590243602,-0.14647002644353288,,1.6458168565536884,0.0,0.0,-1.4355248474960594,3.348271712571835,-0.5213521365085556,,8.834756438634487,3.0551647526534094,-0.16277811198347256,0.0,-1.109086846641692,0.16793166866005074,,-1.4188360870459393,0.6903940991053372,3.5142475888222857,-1.1495052378345658,0.0,1.640561691449002,,-0.5074255871940864,-1.1032873590463914,0.05750083130123824,-0.20095463915369668,1.6473455086188993,0.0,,-1.5450224653816647,1.1503024045372148,,,,,,,,9.39306261434653,-1.2639029118268545,-0.500982736179861,-1.4461653484475077,,0.0,1.7500186567151108,3.0669420886385748,-0.8501620470604647,-1.1373537166807268,0.43444728620368384,,1.4958383142934149,0.0,1541,35,1152,3.0,288,,11,52,0.0227125243348475,0.7475665152498377,0.001946787800129786,0.18689162881245944,,0.007138221933809215,0.03374432186891629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Gbg LGG TMA 8 Panel 2_Core[1,1,C]_[15901,32807]_component_data.tif - resolution #1",0.0,-2.691805467308918,11.056876090753049,-1.0124405201566837,-0.30765905782066294,14.115112373557489,2.2320002432043022,-1.7949214324635963,0.0,-1.649070775383804,0.7436725487020679,0.5019869027950092,-2.1913956187500396,0.8698656493926694,7.185043215901502,-2.9763784959566078,0.0,-2.08869542928171,-0.10104566316191026,9.833416713134188,4.2870044991850085,-0.3968256498652152,0.8077496983538738,-1.3490210226209596,0.0,1.143250245707003,-2.610680894411925,-0.7758006927451004,-0.3795533889882704,-0.40697874903142894,-0.08486983582171785,0.3727471989781299,0.0,-0.2878092691139632,0.8547447018297332,14.981872662954983,-2.213606985208274,15.6142848954691,-2.6287867805005245,-0.22196946118416855,0.0,0.8351895238452933,2.447771862383025,-0.08622039211179897,7.381976115415382,-1.3602688439957957,1.3915997553911599,0.6875278914488523,0.0,0.0,-2.3602231605826085,13.233895756295514,-1.5037424448993475,1.4660454952226598,13.6151251986907,1.9590324447827414,-1.4769874772759561,0.0,-2.4553936732435733,0.5852725377279746,0.24301603128717272,-3.055247470878602,1.4813561663581083,10.930482624022353,-3.4392738667288802,0.0,-2.7743371018630976,-0.1342312774654725,14.89039318597204,2.587156433375053,-0.9773504483802145,0.3919423281604078,-2.2799688593493204,0.0,2.730806415657621,-2.949346426658322,0.8303229194552301,0.9936294550116984,-0.9791325509069869,-0.1385918588436161,1.431807459089228,0.0,-0.4699904630435461,-0.150344467014258,14.632971624042678,-2.5172844234832157,18.903296862979644,-2.611684663640347,-0.36414883241611173,0.0,1.4873127818560965,1.8965793487478382,-0.4696495871209935,3.5371961658530684,-0.3323228293895681,0.24317473241433799,0.9312594167320679,0.0,1667,40,1053,2.0,427,1.0,23,121,0.02399520095980804,0.6316736652669466,0.0011997600479904018,0.2561487702459508,0.0005998800239952009,0.013797240551889621,0.07258548290341932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Gbg LGG TMA 8 Panel 2_Core[1,11,B]_[14758,50586]_component_data.tif - resolution #1",0.0,-2.385526485590096,,2.402206290781303,-0.17070590499430793,5.3998874123386855,4.881428617409203,-9.112236709501598,0.0,,0.7563943393522188,3.2578080246327583,-2.578012586621564,4.054335323408915,,,,,,,,-0.6805492594299853,-1.7431507766613876,,0.0,-0.4468798267530082,0.5674745108640127,0.9747205353691225,-1.3188051835473271,0.29118622169489355,,-0.920615481564214,0.0,-0.6617891569487782,1.2217167858182343,4.845338159717129,-1.1425791630777404,,1.447826924830921,-0.489885876754492,0.0,0.6339157208837161,0.8676869538107335,-0.3224344817779184,,0.4425495936438708,1.55147579171843,-0.13146066056960068,0.0,0.0,-2.1557997303919803,,4.528968413093288,-0.8500404334859013,2.0642927137789795,2.783495259945169,-8.770557496856583,0.0,,0.36307054985489784,4.118407070803148,-0.763204039361543,5.166389986692408,,,,,,,,1.3904380514752654,-2.978849726183994,,0.0,-1.784376184922331,1.2634306879507102,0.7235183674441646,-1.9464639332184672,0.5472254085147653,,-2.28938921392743,0.0,-1.0759583189537665,2.023443123323896,1.6147313961562582,-0.2774996652116492,,1.6362240215141346,-0.9733068470262749,0.0,-0.47178423728749536,-0.30780754027101814,-0.28877443190776464,,0.1345408155309983,2.402323876104982,-0.786362837962514,0.0,2775,45,2260,,194,35.0,4,187,0.016216216216216217,0.8144144144144144,,0.0699099099099099,0.012612612612612612,0.0014414414414414415,0.06738738738738739,0.0,-0.8091028803781659,-2.8605827325709816,10.885363828793684,-0.7650747160924738,-0.7289642861868667,-0.36974576765243783,0.4325585426114102,-2.5024406684124187,10.374389918497286,-1.0577002547898855,-0.5855269784513523,-0.8471281308085644,0.0,-0.8209534387479364,-5.571484801298577,18.80969098635358,-0.47443778563768285,-1.204288116358538,0.8748567074979523,0.2569011608704531,-5.41387169232933,17.898724642610546,-0.912505294610176,-1.1633280782035553,0.1281818168053076,50.0,0.018018018018018018,,,,
4,"Gbg LGG TMA 8 Panel 2_Core[1,12,B]_[14788,52318]_component_data.tif - resolution #1",0.0,-2.956098962123455,,3.246523997047767,0.5890582722700818,23.505424573761076,3.4117217901283206,-9.164588052686197,0.0,,0.9587846934262467,-0.04559590010277521,-4.643664624170988,4.513768455355902,,,,,,,,1.1969229077235164,-0.5662851538251825,,0.0,3.960388913769305,-1.2152939757913308,0.4405147980073175,-0.28870064910534676,-0.7318531055124855,,4.043990250462992,0.0,-0.7733542305834079,0.7838863204840515,21.204530280070696,-2.640904872338619,,-0.9721957362212716,-0.6253748593497156,0.0,0.7474037854893415,0.03988220218957993,-0.06874823013801445,,0.2282966774840252,0.5533578081964668,-0.33462535416042394,0.0,0.0,-2.161311303006903,,1.0430706734832893,2.166668610920724,16.369227596139552,2.80855833433017,-8.41369895431294,0.0,,0.7713165139020978,-0.9608541175169846,-4.629411771722702,4.7308954334345845,,,,,,,,-0.20684398439286,-0.5471181279662182,,0.0,4.1834544411446055,-0.5473245062125535,0.4831716090287509,1.2103817563402222,-1.3723195544952145,,4.287003771570924,0.0,-0.516749210460725,2.200137549756113,16.06694382718912,-1.9728666500341667,,-0.0598240277857818,-0.2514199304036421,0.0,0.06434505219614987,-0.0009245780606273202,-0.13668809111358363,,0.1681288634086407,1.8283049661214228,-1.0218020416259912,0.0,3017,41,2662,,58,24.0,10,220,0.01358965860125953,0.8823334438183627,,0.0192243950944647,0.007954922108054359,0.003314550878355983,0.07292011932383162,0.0,-0.466455472611813,0.23241738555557803,-0.5547956687791017,-0.3568807183843544,-0.23036516334577745,-0.1550196497489232,-0.33198727431307,0.6928516661687552,-0.5434828642128661,-0.34585114403137973,-0.18052884893870602,-0.14963479951101186,0.0,-0.7188557293175633,-0.2678202896268865,2.653826335580447,-0.5499899307673478,-0.3550165075892434,0.13644346369999927,-0.6522314919711433,-0.7057466321234678,2.4025437784065833,-0.5774481440436625,-0.3272363710797392,-0.12253871374294802,2.0,0.0006629101756711965,,,,
5,"Gbg LGG TMA 8 Panel 2_Core[1,2,A]_[12248,34941]_component_data.tif - resolution #1",0.0,-0.8942886554173057,,0.9494302636367051,1.4362016187463842,5.273477887069702,-0.29364253575203886,-1.1710135833656923,0.0,,-0.15730244153725248,-0.6387653440978663,-1.011472503346197,0.871726242279951,,,,,,,,0.651517412022506,-1.0444187874711934,,0.0,0.3557444057753774,1.9747434555521735,1.589081592064672,1.4107777513333026,-0.6467686799182414,,0.3804712203190978,0.0,-0.2891315398779711,0.55581094575105,4.91923994878168,-1.6120526559592658,,1.6432879376404903,-0.29932369857435875,0.0,-0.086824034530472,-0.6250930232580234,-0.5871341482476254,,1.1822350348514146,0.5066113441475084,0.07807693823788615,0.0,0.0,-0.8089595173765315,,0.5580831864831607,1.3134891297361218,3.0564838780633594,0.43881154394272676,0.9163966861091997,0.0,,0.19541263103866993,-1.1999830428169396,-1.0968319491085,-0.2526536352574001,,,,,,,,1.4128794092900807,-0.5442209934573896,,0.0,1.4664799065462275,0.8117970192073919,0.3931310685696979,1.3925324916060844,-1.264040789996105,,1.446094770245783,0.0,3.5835153977828598,-0.11253737814286953,3.272973524356779,-1.2141152979929266,,0.8050653666367631,3.5939356802694196,0.0,0.3365135277826664,1.1795725225259317,-0.5329337208566775,,0.5553595163131089,-0.09004194017025961,0.3678702159587089,0.0,2849,45,1869,,554,2.0,14,365,0.015795015795015795,0.6560196560196561,,0.19445419445419446,0.000702000702000702,0.004914004914004914,0.12811512811512812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Gbg LGG TMA 8 Panel 2_Core[1,2,B]_[14153,34877]_component_data.tif - resolution #1",0.0,-1.321080778208327,,0.9345409976303025,,7.547444446638347,0.8513095366260689,-2.052021790002489,0.0,,1.0694802046601999,,-2.6161752890791465,0.6658356270694964,,,,,,,,0.39376705874651086,0.08616876080194871,,0.0,,-0.6795529923841085,-0.4620078250614204,,,,,,,,7.976148616252553,-1.614028889820021,,-0.08081774527803294,,0.0,1.647733750098194,0.5850817362880053,0.05788127845910337,,-0.5809286132313398,,1.2729049157620924,0.0,0.0,-1.0616291287439032,,1.1829388293168066,,5.4042366667534605,-0.11930950726557803,-1.3722414450381735,0.0,,0.9498649096346055,,-1.8399221649157194,-0.09647329676414461,,,,,,,,0.8124975056700302,-0.36061967117816257,,0.0,,-0.8948517917513689,1.576563143840622,,,,,,,,5.736477235017349,-0.7689691414450842,,-0.27300577920135627,,0.0,-0.42817204272743253,-0.26337860070502916,-0.6320344155658485,,1.5368511873893749,,-0.6533333987408273,0.0,2476,55,1908,,435,,17,61,0.02221324717285945,0.7705977382875606,,0.17568659127625202,,0.006865912762520194,0.024636510500807753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Gbg LGG TMA 8 Panel 2_Core[1,2,C]_[15994,34560]_component_data.tif - resolution #1",0.0,-2.914905527913298,,2.3163500313028065,,9.926981444615757,2.6636082572770707,-2.668827718229513,0.0,,1.1460451449400806,,-3.060806816050429,0.8213304320079599,,,,,,,,2.1371697990613323,-0.5521588148183183,,0.0,,1.9667401012768515,-0.11594433119213607,,,,,,,,9.705298145404498,-3.374772625475463,,1.9289202017003713,,0.0,2.5238473771390244,2.4728172222035765,-0.5931455920434946,,-0.21145290423232557,,2.5243265308748106,0.0,0.0,-2.149792120394112,,1.7465706380475712,,6.571881203792633,2.1368269757658105,-3.2222530820223216,0.0,,1.4179902232835246,,-2.1117450362746064,0.4664015265945775,,,,,,,,0.915808581618452,-0.17546567023941909,,0.0,,1.6921341603846545,-0.48052668740418586,,,,,,,,6.131304825809264,-2.403175166585137,,1.6922031260568626,,0.0,1.7651557166001446,1.5618891570685294,-0.30519586844874996,,-0.3290368940470338,,1.8057494743033151,0.0,1840,40,1361,,279,,13,147,0.021739130434782608,0.7396739130434783,,0.1516304347826087,,0.007065217391304348,0.07989130434782608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Gbg LGG TMA 8 Panel 2_Core[1,3,A]_[12375,36719]_component_data.tif - resolution #1",0.0,-3.587976110846999,14.01576717211551,-0.02802576935405409,1.0623493476099262,11.83171279386111,4.944389155822168,-5.985546687665818,0.0,-2.0356509622468297,2.7420019999341316,1.5724294328694692,-3.032815899291982,1.1386263781180723,11.200039116091236,-2.347933228357261,0.0,-0.7075492307035588,-0.3244960794920725,-0.2381141077033061,-0.18154815867572283,-1.815580507564528,0.2879763605117173,-0.6171535170794092,0.0,-0.6940993744898482,-0.13742246354224408,0.6790752308508783,0.22606921578911357,-0.014543612856476887,-0.33593850781837414,-1.0806238308589502,0.0,-0.513160659803548,1.0314220066016189,11.255447058858332,-2.6494474900801066,-0.20303818341290972,0.3289523357422351,-0.422662280887079,0.0,-0.724986744205147,2.7308470786814842,-1.010579616936359,-0.11143724738166633,0.5215799120273982,1.4346022706984705,-0.996008134184888,0.0,0.0,-2.28378352055705,7.732238164548215,0.11061541946658916,0.6302673005335867,6.397412951130161,3.4327225674999027,-4.187008732329214,0.0,-1.3328240233294057,2.07017941722651,1.7771495717545729,-1.6673208752886166,0.29407983893518047,7.283655368044797,-1.3368166957987226,0.0,-1.7687703695255814,-0.5091108446421144,2.3032117885937406,0.6108508305601142,-1.2862066994148353,0.00023101775124128557,-1.8275932005430924,0.0,0.573490292191898,-0.0012728319069034405,0.8973551433849384,-0.16874296635629077,-0.4838797667370284,-0.5654688598144483,-0.25863212908259153,0.0,-0.8637784238806734,1.820120665037825,6.050340463804204,-1.5453605377041024,2.3339524781799716,0.21987885436476676,-0.7699185106557942,0.0,-0.2881059485448751,2.1302261183774864,-1.2633314619395373,0.5214853367632224,0.8889887733382503,2.6365023690687606,-0.44613470732981375,0.0,1608,70,1119,3.0,247,13.0,7,148,0.043532338308457715,0.6958955223880597,0.0018656716417910447,0.15360696517412936,0.00808457711442786,0.004353233830845771,0.09203980099502487,0.0,-0.5522053183358577,-0.39616122703984896,0.8909596014474188,3.964354779879218,-0.17461886054355102,-0.802960358160699,-0.35516244244236206,0.918021792768382,1.7741953563500732,4.961965087476903,-0.1172238948095467,-0.6104299486021341,0.0,-0.7809309430624154,-0.23982754496443354,0.5782318383798859,2.6349515297902575,-0.24694819300331172,-0.25483910070339827,-0.6516038875948605,0.5763228896107062,0.9813671178041086,2.73660033835834,-0.21353365176174516,-0.02769681182932812,1.0,0.0006218905472636816,-0.11431472035063067,-0.08999832698799619,-0.16166538081336854,-0.1412009819834433
